Date,Number_of_tweet,exchange,open,high,low,close,volume,trade_count,vwap,symbol,nasdaq,spx,Ethereum Market Cap,Next_day_price
2016-12-16,8,CBSE,7.84,7.9,7.67,7.69,12510.38002,1974,7.785648115,ETHUSD,5437.16,2258.07,678214580.9,7.89
2016-12-19,7,CBSE,7.65,7.71,7.56,7.6,7210.007204,1522,7.650517251,ETHUSD,5457.44,2262.53,661159386.3,7.84
2016-12-20,12,CBSE,7.62,7.77,7.55,7.64,21350.52719,2162,7.638256723,ETHUSD,5483.94,2270.76,664148518.6,7.6
2016-12-21,7,CBSE,7.93,7.95,7.58,7.67,24833.87329,1260,7.723366113,ETHUSD,5471.43,2265.18,684634858.1,7.64
2016-12-22,10,CBSE,7.54,7.67,7.45,7.59,26617.14524,3512,7.557551003,ETHUSD,5447.42,2260.96,660427962.8,7.67
2016-12-23,3,CBSE,7.58,7.61,7.01,7.13,68936.30069,3448,7.277649758,ETHUSD,5462.69,2263.79,628063010.7,7.59
2016-12-27,4,CBSE,7.15,7.2,7.08,7.13,19418.66895,5145,7.130729586,ETHUSD,5487.44,2268.88,626352253.4,7.28
2016-12-28,5,CBSE,7.6,8.3,7.6,8.07,53394.29341,2335,7.907477055,ETHUSD,5438.56,2249.92,665151773.3,7.13
2016-12-29,5,CBSE,8.12,8.53,8.01,8.29,99132.36735,7959,8.301636511,ETHUSD,5432.09,2249.26,714246947.4,8.07
2016-12-30,8,CBSE,8.2,8.29,8.05,8.07,13602.79532,2918,8.159604634,ETHUSD,5383.12,2238.83,712888825.7,8.29
2017-01-03,5,CBSE,9.62,10.57,9.34,10.48,77040.23343,6978,10.09058644,ETHUSD,5429.08,2257.83,842886495.4,8.39
2017-01-04,7,CBSE,11.13,11.79,10.94,11.68,95363.4246,11813,11.39955225,ETHUSD,5477,2270.75,961038889.8,10.48
2017-01-05,8,CBSE,10.23,10.46,9.9,10.18,28950.39883,3824,10.19366153,ETHUSD,5487.94,2269,886296492.9,11.68
